Restaurant Id,Restaurant Name,Country,City,User Rating Votes,User Aggregate Rating,Cuisines,Event Id,Photo URL List,Event Title,Event Start Date,Event End Date
18649486,The Drunken Botanist,India,Gurgaon,4765,4.4,"Continental, Italian, North Indian, Chinese",322331,['https://b.zmtcdn.com/data/zomato_events/photos/5a1/ac34cf3c271c9052e9d248c243df65a1_1551852711.jpg'],"BackToBasic Wednesdays !!


",2019-03-06,2019-08-28
308322,Hauz Khas Social,India,New Delhi,13627,4.6,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",332812,['https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg'],Live 20/20 Match Screenings,2019-03-29,2019-05-23
18856789,AIR- An Ivory Region,India,New Delhi,1819,4.1,"North Indian, Chinese, Continental, Asian",336644,['https://b.zmtcdn.com/data/zomato_events/photos/46f/1c1651fcd360fe1468cfc06125b1646f_1554705305.jpg'],Dhol Bhangra Night,2019-04-10,2019-04-11
307374,AMA Cafe,India,New Delhi,3252,4.4,"Cafe, Juices",NA,NA,NA,NA,NA
18238278,Tamasha,India,New Delhi,8112,4.4,"Finger Food, North Indian, Continental, Italian",NA,NA,NA,NA,NA
18268712,Chili's Grill & Bar,India,Noida,3702,4.6,"Mexican, American, Italian, Burger",NA,NA,NA,NA,NA
18198449,Punjabi Angithi,India,New Delhi,3613,4.7,"North Indian, Chinese, Momos, Rolls, Fast Food",NA,NA,NA,NA,NA
18382360,Local,India,New Delhi,5694,4.3,"North Indian, Continental, Momos",336889,NA,Cocktail Wednesday,2019-04-10,2019-04-10
18382360,Local,India,New Delhi,5694,4.3,"North Indian, Continental, Momos",336888,NA,Cocktail Wednesday,2019-04-10,2019-04-10
18382360,Local,India,New Delhi,5694,4.3,"North Indian, Continental, Momos",336890,['https://b.zmtcdn.com/data/zomato_events/photos/193/bed72acb4c93b8affeba209ccad08193_1554726578.jpg'],Cocktail Wednesday,2019-04-10,2019-04-10
18382360,Local,India,New Delhi,5694,4.3,"North Indian, Continental, Momos",336894,['https://b.zmtcdn.com/data/zomato_events/photos/f6c/0aea33156c313eef2343ac6f0e0a5f6c_1554726952.jpg'],Hip Hop Friday,2019-04-12,2019-04-12
18382360,Local,India,New Delhi,5694,4.3,"North Indian, Continental, Momos",336903,['https://b.zmtcdn.com/data/zomato_events/photos/5ee/165894b7ce0bfd2812796a3f8c6f15ee_1554728236.jpg'],Urban Saturday,2019-04-13,2019-04-13
18273624,Cafeteria & Co.,India,New Delhi,4229,4.5,"Continental, Mexican, Fast Food",NA,NA,NA,NA,NA
18466951,Jungle Jamboree,India,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ",116096,['https://b.zmtcdn.com/data/zomato_events/photos/847/acb0693c612ec13c15e618d4bf3cf847_1507619388.jpg'],Festive Food Bonanza || Special Buffet Prices starting @ Rs. 499 + || Full Day Alacarte,2019-01-21,2019-05-31
18466951,Jungle Jamboree,India,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ",161417,['https://b.zmtcdn.com/data/zomato_events/photos/21a/7db6ab62451f0c3b57f0b17a42aaa21a_1552391084.jpg'],7 Course High Tea Birthday & Kitty Parties @ Rs. 499 + onwards with Unlimited Aerated Drinks,2019-01-21,2019-05-31
18466951,Jungle Jamboree,India,Noida,2832,4.5,"North Indian, Continental, Chinese, BBQ",336622,['https://b.zmtcdn.com/data/zomato_events/photos/ffe/96d21e7be18ea0bbc2d7f44496697ffe_1554702984.jpg'],Special Navratras Thali at just @399 +Taxes at Jungle Jamboree,2019-04-08,2019-04-13
306046,SodaBottleOpenerWala,India,Gurgaon,3818,4.2,"Parsi, North Indian, Maharashtrian, Beverages, Bakery",NA,NA,NA,NA,NA
18337893,The Luggage Room Kitchen And Bar,India,New Delhi,1622,4.5,"Italian, Chinese, Continental",336251,['https://b.zmtcdn.com/data/zomato_events/photos/799/108cf02227f93ebf23d0931aad9c6799_1554553534.jpeg'],Commercial Night,2019-04-10,2019-04-11
18337893,The Luggage Room Kitchen And Bar,India,New Delhi,1622,4.5,"Italian, Chinese, Continental",336248,['https://b.zmtcdn.com/data/zomato_events/photos/64f/6b5003ddf79e8c67cb0ce2e8a17aa64f_1554552608.jpeg'],Ladies Night,2019-04-11,2019-04-11
18518483,Echoes Hudson Lane,India,New Delhi,2534,4.6,"Cafe, American, Chinese, Continental, North Indian, Italian",NA,NA,NA,NA,NA
18246991,Odeon Social,India,New Delhi,5808,4.4,"Continental, American, Asian, North Indian, Momos, Beverages",332812,['https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg'],Live 20/20 Match Screenings,2019-03-29,2019-05-23
8913,Pirates of Grill,India,Gurgaon,5760,4.9,"North Indian, Mughlai, Continental",NA,NA,NA,NA,NA
313256,The Junkyard Cafe,India,New Delhi,5512,4.5,"North Indian, Mediterranean, Asian, Salad, Momos",NA,NA,NA,NA,NA
18562836,Diggin,India,New Delhi,2335,4.2,"Italian, Continental, Beverages",NA,NA,NA,NA,NA
17953943,The Burger Club,India,New Delhi,2411,4.2,"Burger, Fast Food, Beverages",NA,NA,NA,NA,NA
18258498,Chinese Kitchen,India,New Delhi,713,4.1,"Fast Food, Chinese, Momos",NA,NA,NA,NA,NA
18537536,Chili's Grill & Bar,India,New Delhi,2364,4.6,"Mexican, American, Italian",NA,NA,NA,NA,NA
18707652,Zam Zam,India,Kolkata,824,4.4,"Biryani, Mughlai",NA,NA,NA,NA,NA
18571735,Dum Laga Ke Haishaa,India,Kolkata,770,4.5,"Continental, Biryani, North Indian, Chinese, Kebab",292840,"['https://b.zmtcdn.com/data/zomato_events/photos/647/21460fdc477d489aa14b5737ad8b4647_1545986849.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/9d8/64650c048db51b793f4cb1ba5b72a9d8_1545986850.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/c67/5e7cc582f8d1c247402f7e63df920c67_1546020375.jpg']",Corporate Lunch Box ,2018-12-28,2019-12-31
18571735,Dum Laga Ke Haishaa,India,Kolkata,770,4.5,"Continental, Biryani, North Indian, Chinese, Kebab",297761,['https://b.zmtcdn.com/data/zomato_events/photos/b9a/c78333277eeb35b03054832d554c8b9a_1547094754.jpeg'],Happy Hour! ,2019-01-10,2019-12-31
18571735,Dum Laga Ke Haishaa,India,Kolkata,770,4.5,"Continental, Biryani, North Indian, Chinese, Kebab",316852,"['https://b.zmtcdn.com/data/zomato_events/photos/ae1/8f114d0fd22610eb5fc24586f9b14ae1_1551418526.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/405/64bcbb93f47b7d309a9ce29ac3bac405_1551418527.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/d8c/bcee536be3ca429fc44ff2481228ed8c_1551418527.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/d36/987d50828ceb62eaa0f768f9e8a76d36_1551418527.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/4df/0e436d2ad39143ae70fed3d49e72b4df_1551418527.jpeg', 'https://b.zmtcdn.com/data/zomato_events/photos/5da/8ea00e720424fcc8d74c89a0183895da_1551437853.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/f64/9d1d5db73fb98a231a0015dabed37f64_1551437854.jpg']",Food Festival,2019-02-21,2019-05-31
